
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 4:35:42 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/1/2022 4:05:16 PM;3;4;lm4front;hotel5;(-0.928, 0.000, 0.361);(-0.633, 0.000, 0.772);29.435
8/1/2022 4:05:16 PM;4;5;lm4front;phoneAds6;(-0.908, 0.000, -0.418);(-0.518, 0.000, 0.854);83.496
8/1/2022 4:05:16 PM;5;6;lm4front;phoneAds6;(-0.908, 0.000, -0.418);(-0.401, 0.000, 0.916);91.075
8/1/2022 4:05:19 PM;6;8;lm3front;stairBalcony2;(-0.354, 0.000, -0.935);(0.878, 0.000, -0.455);83.345
8/1/2022 4:05:19 PM;7;9;lm3front;ShopTent4;(0.070, 0.000, 0.998);(0.864, 0.000, -0.477);114.888
8/1/2022 4:05:20 PM;8;10;lm3front;hotel5;(-0.512, 0.000, 0.857);(0.855, 0.000, -0.497);150.986
8/1/2022 4:05:20 PM;9;11;lm3front;phoneAds6;(-0.991, 0.000, 0.134);(0.865, 0.000, -0.483);158.533
8/1/2022 4:05:20 PM;10;12;lm3front;phoneAds6;(-0.991, 0.000, 0.134);(0.870, 0.000, -0.471);159.248
8/1/2022 4:05:24 PM;11;13;lm1front;stairBalcony2;(-0.870, 0.000, 0.492);(-0.924, 0.000, 0.363);8.033
8/1/2022 4:05:25 PM;12;15;lm1front;ShopTent4;(0.095, 0.000, 0.995);(-0.893, 0.000, 0.421);70.238
8/1/2022 4:05:25 PM;13;16;lm1front;hotel5;(-0.178, 0.000, 0.984);(-0.895, 0.000, 0.422);54.509
8/1/2022 4:05:25 PM;14;17;lm1front;phoneAds6;(-0.540, 0.000, 0.842);(-0.922, 0.000, 0.379);34.965
8/1/2022 4:05:26 PM;15;18;lm1front;phoneAds6;(-0.540, 0.000, 0.842);(-0.923, 0.000, 0.366);35.659
8/1/2022 4:05:29 PM;16;19;lm6front;shopSigns1;(0.540, 0.000, -0.841);(-0.331, 0.000, 0.935);166.784
8/1/2022 4:05:29 PM;17;20;lm6front;stairBalcony2;(0.425, 0.000, -0.905);(-0.263, 0.000, 0.961);170.122
8/1/2022 4:05:29 PM;18;22;lm6front;ShopTent4;(0.898, 0.000, 0.439);(-0.223, 0.000, 0.967);76.923
8/1/2022 4:05:30 PM;19;23;lm6front;hotel5;(0.528, 0.000, 0.847);(-0.246, 0.000, 0.962);46.269
8/1/2022 4:05:30 PM;20;24;lm6front;hotel5;(0.528, 0.000, 0.847);(-0.262, 0.000, 0.957);47.279
8/1/2022 4:05:30 PM;21;25;lm2front;shopSigns1;(0.953, 0.000, -0.301);(-0.325, 0.000, 0.932);126.757
8/1/2022 4:05:31 PM;22;26;lm2front;xbalcony3;(0.424, 0.000, 0.905);(-0.354, 0.000, 0.926);46.004
8/1/2022 4:05:31 PM;23;27;lm2front;ShopTent4;(0.282, 0.000, 0.959);(-0.434, 0.000, 0.883);42.589
8/1/2022 4:05:31 PM;24;29;lm2front;phoneAds6;(-0.410, 0.000, 0.912);(-0.588, 0.000, 0.797);12.195
8/1/2022 4:05:32 PM;25;30;lm2front;phoneAds6;(-0.410, 0.000, 0.912);(-0.581, 0.000, 0.797);11.851
8/1/2022 4:05:32 PM;26;31;lm5front;shopSigns1;(0.160, 0.000, -0.987);(-0.565, 0.000, 0.813);154.395
8/1/2022 4:05:32 PM;27;32;lm5front;stairBalcony2;(0.023, 0.000, -1.000);(-0.571, 0.000, 0.806);145.977
8/1/2022 4:05:32 PM;28;33;lm5front;xbalcony3;(0.524, 0.000, -0.851);(-0.605, 0.000, 0.787);174.076
8/1/2022 4:05:33 PM;29;34;lm5front;ShopTent4;(0.926, 0.000, -0.377);(-0.614, 0.000, 0.787);150.077
8/1/2022 4:05:35 PM;30;36;lm5front;phoneAds6;(-0.635, 0.000, -0.773);(-0.331, 0.000, -0.941);20.019
